512	4005	111110100101	0xa5,0x0f,0x0	7645
513	2253	100011001101	0xcd,0x08,0x0	4315
514	3889	111100110001	0x31,0x0f,0x0	7461
515	2785	101011100001	0xe1,0x0a,0x0	5341
516	3555	110111100011	0xe3,0x0d,0x0	6743
517	2810	101011111010	0xfa,0x0a,0x0	5372
518	1679	011010001111	0x8f,0x06,0x0	3217
519	0980	001111010100	0xd4,0x03,0x0	1724
520	1702	011010100110	0xa6,0x06,0x0	3246
521	3531	110111001011	0xcb,0x0d,0x0	6713
522	2802	101011110010	0xf2,0x0a,0x0	5362
523	3195	110001111011	0x7b,0x0c,0x0	6173
524	3215	110010001111	0x8f,0x0c,0x0	6217
525	3412	110101010100	0x54,0x0d,0x0	6524
526	1642	011001101010	0x6a,0x06,0x0	3152
527	3279	110011001111	0xcf,0x0c,0x0	6317
528	2451	100110010011	0x93,0x09,0x0	4623
529	3540	110111010100	0xd4,0x0d,0x0	6724
530	1847	011100110111	0x37,0x07,0x0	3467
531	2490	100110111010	0xba,0x09,0x0	4672
532	0757	001011110101	0xf5,0x02,0x0	1365
533	3042	101111100010	0xe2,0x0b,0x0	5742
534	0994	001111100010	0xe2,0x03,0x0	1742
535	1295	010100001111	0x0f,0x05,0x0	2417
536	1850	011100111010	0x3a,0x07,0x0	3472
537	0741	001011100101	0xe5,0x02,0x0	1345
538	3866	111100011010	0x1a,0x0f,0x0	7432
539	1719	011010110111	0xb7,0x06,0x0	3267
540	0751	001011101111	0xef,0x02,0x0	1357
541	2739	101010110011	0xb3,0x0a,0x0	5263
542	1374	010101011110	0x5e,0x05,0x0	2536
543	3359	110100011111	0x1f,0x0d,0x0	6437
544	1268	010011110100	0xf4,0x04,0x0	2364
545	1254	010011100110	0xe6,0x04,0x0	2346
546	1483	010111001011	0xcb,0x05,0x0	2713
547	2293	100011110101	0xf5,0x08,0x0	4365
548	3737	111010011001	0x99,0x0e,0x0	7231
549	3036	101111011100	0xdc,0x0b,0x0	5734
550	3155	110001010011	0x53,0x0c,0x0	6123
