1	3466	110110001010	0x8a,0x0d,0x0	6612
2	3467	110110001011	0x8b,0x0d,0x0	6613
3	3468	110110001100	0x8c,0x0d,0x0	6614
4	3469	110110001101	0x8d,0x0d,0x0	6615
5	3471	110110001111	0x8f,0x0d,0x0	6617
6	3473	110110010001	0x91,0x0d,0x0	6621
7	3475	110110010011	0x93,0x0d,0x0	6623
8	3476	110110010100	0x94,0x0d,0x0	6624
9	3477	110110010101	0x95,0x0d,0x0	6625
10	3479	110110010111	0x97,0x0d,0x0	6627
11	3481	110110011001	0x99,0x0d,0x0	6631
12	3482	110110011010	0x9a,0x0d,0x0	6632
13	3484	110110011100	0x9c,0x0d,0x0	6634
14	3485	110110011101	0x9d,0x0d,0x0	6635
15	3487	110110011111	0x9f,0x0d,0x0	6637
16	3489	110110100001	0xa1,0x0d,0x0	6641
17	3490	110110100010	0xa2,0x0d,0x0	6642
18	3491	110110100011	0xa3,0x0d,0x0	6643
19	3493	110110100101	0xa5,0x0d,0x0	6645
20	3495	110110100111	0xa7,0x0d,0x0	6647
21	3497	110110101001	0xa9,0x0d,0x0	6651
22	3498	110110101010	0xaa,0x0d,0x0	6652
23	3499	110110101011	0xab,0x0d,0x0	6653
24	3500	110110101100	0xac,0x0d,0x0	6654
25	3503	110110101111	0xaf,0x0d,0x0	6657
26	3513	110110111001	0xb9,0x0d,0x0	6671
27	3514	110110111010	0xba,0x0d,0x0	6672
28	3515	110110111011	0xbb,0x0d,0x0	6673
29	3516	110110111100	0xbc,0x0d,0x0	6674
30	3517	110110111101	0xbd,0x0d,0x0	6675
